race,PRES16D,PRES16R,PRES16Turnout
WVAP,0.6534 (0.6318-0.6748),0.3466 (0.3252-0.3682),0.8946 (0.8604-0.9211)
OVAP,0.8267 (0.7183-0.9143),0.1733 (0.0857-0.2817),0.4015 (0.3559-0.4604)
