race,SEN12D,SEN12R,SEN12Turnout
WVAP,0.5855 (0.5552-0.6134),0.4145 (0.3866-0.4448),0.7147 (0.6681-0.7587)
OVAP,0.9373 (0.8753-0.9743),0.0627 (0.0257-0.1247),0.3524 (0.2795-0.4291)
