race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.6853 (0.6592-0.7089),0.3147 (0.2911-0.3408),0.8016 (0.7524-0.8421)
OVAP,0.8956 (0.8149-0.9528),0.1044 (0.0472-0.1851),0.4116 (0.34-0.4984)
