race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.5809 (0.5475-0.612),0.4191 (0.388-0.4525),0.6479 (0.6033-0.6881)
OVAP,0.8676 (0.7345-0.9489),0.1324 (0.0511-0.2655),0.2093 (0.1441-0.2811)
