race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDTurnout
WVAP,0.4733 (0.4124-0.5348),0.0913 (0.0647-0.1124),0.1564 (0.1209-0.1902),0.0555 (0.0326-0.0754),0.2235 (0.1796-0.2692),0.1417 (0.1298-0.1538)
OVAP,0.5564 (0.4543-0.6553),0.0474 (0.0159-0.0927),0.0997 (0.0483-0.1564),0.051 (0.0199-0.0919),0.2454 (0.1717-0.3176),0.1453 (0.1252-0.1651)
