race,GOV18D,GOV18R,GOV18Turnout
WVAP,0.3763 (0.2023-0.4329),0.6237 (0.5671-0.7977),0.8582 (0.7012-0.9)
OVAP,0.6776 (0.4469-0.9402),0.3224 (0.0598-0.5531),0.3639 (0.2932-0.614)
