race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDTurnout
WVAP,0.4819 (0.4215-0.5396),0.2444 (0.2128-0.2745),0.2737 (0.2254-0.3193),0.1283 (0.1158-0.1413)
OVAP,0.8199 (0.7206-0.9001),0.0567 (0.0241-0.114),0.1235 (0.0525-0.2138),0.1144 (0.0917-0.136)
