race,AG14D,AG14R,AG14Turnout
WVAP,0.5083 (0.46-0.5555),0.4917 (0.4445-0.54),0.5442 (0.4979-0.5889)
BVAP,0.8966 (0.7751-0.9649),0.1034 (0.0351-0.2249),0.2709 (0.1544-0.399)
HVAP,0.7796 (0.4912-0.9395),0.2204 (0.0605-0.5088),0.3608 (0.1703-0.618)
OVAP,0.7345 (0.4769-0.9086),0.2655 (0.0914-0.5231),0.3279 (0.1947-0.4755)
