race,SEN16PD_CV,SEN16PD_DE,SEN16PDTurnout
WVAP,0.8384 (0.7776-0.8948),0.1616 (0.1052-0.2224),0.2223 (0.1983-0.2449)
OVAP,0.3501 (0.2304-0.4657),0.6499 (0.5343-0.7696),0.2135 (0.1785-0.2522)
