race,AG18D,AG18R,AG18Turnout
WVAP,0.6213 (0.5907-0.6477),0.3787 (0.3523-0.4093),0.8265 (0.779-0.8666)
OVAP,0.867 (0.7674-0.9415),0.133 (0.0585-0.2326),0.4022 (0.3326-0.4832)
