race,PRES12D,PRES12R,PRES12Turnout
WVAP,0.5691 (0.5432-0.5918),0.4309 (0.4082-0.4568),0.9103 (0.8693-0.9375)
OVAP,0.8612 (0.7572-0.938),0.1388 (0.062-0.2428),0.378 (0.3316-0.4455)
