race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.6021 (0.5785-0.6278),0.3979 (0.3722-0.4215),0.9144 (0.8865-0.9372)
OVAP,0.7901 (0.667-0.8937),0.2099 (0.1063-0.333),0.4147 (0.3761-0.4614)
