race,COMP14D,COMP14R,COMP14None
WVAP,0.0995 (0.089-0.1094),0.1861 (0.1764-0.1939),0.7144 (0.7016-0.7268)
BVAP,0.0553 (0.0207-0.108),0.0377 (0.0101-0.0842),0.907 (0.8411-0.9547)
HVAP,0.2765 (0.0914-0.4993),0.1536 (0.0415-0.3209),0.5699 (0.3315-0.8011)
OVAP,0.3737 (0.1354-0.6207),0.1763 (0.0478-0.3768),0.45 (0.2053-0.7252)
