race,PRES12D,PRES12R,PRES12None
WVAP,0.1779 (0.1622-0.1924),0.2952 (0.286-0.3016),0.5269 (0.5105-0.5448)
OVAP,0.1509 (0.0613-0.2493),0.0424 (0.0119-0.0905),0.8067 (0.6997-0.9024)
