race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.03 (0.0258-0.0339),0.0003 (0.0001-0.0006),0.9697 (0.9656-0.9739)
BVAP,0.0332 (0.0106-0.0666),0.0072 (0.0022-0.0156),0.9596 (0.9248-0.9835)
HVAP,0.1181 (0.0389-0.2278),0.0195 (0.0063-0.0362),0.8624 (0.7533-0.9448)
OVAP,0.1587 (0.0484-0.283),0.0262 (0.0111-0.043),0.8152 (0.6942-0.9243)
