race,GOV14D,GOV14R,GOV14None
WVAP,0.0698 (0.0605-0.0777),0.2453 (0.2373-0.2511),0.6849 (0.6746-0.6969)
OVAP,0.0848 (0.0354-0.147),0.0356 (0.009-0.0768),0.8796 (0.807-0.9388)
