race,AG14D,AG14R,AG14None
WVAP,0.0902 (0.0804-0.0989),0.2 (0.1927-0.2051),0.7098 (0.6994-0.7217)
OVAP,0.0744 (0.0232-0.1383),0.0323 (0.0083-0.0718),0.8933 (0.8194-0.9524)
