race,PRES16D,PRES16R,PRES16None
WVAP,0.1121 (0.0988-0.1246),0.3072 (0.2953-0.3168),0.5807 (0.5649-0.5954)
BVAP,0.0946 (0.0299-0.1899),0.0525 (0.014-0.1177),0.8529 (0.7513-0.933)
HVAP,0.382 (0.1379-0.6276),0.1904 (0.0574-0.396),0.4276 (0.157-0.6954)
OVAP,0.4548 (0.1689-0.7499),0.1864 (0.0433-0.3773),0.3588 (0.1091-0.6635)
