race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0116 (0.0089-0.0141),0.0121 (0.0103-0.0135),0.0079 (0.0063-0.0092),0.9684 (0.9651-0.9718)
OVAP,0.0302 (0.0116-0.0532),0.0139 (0.0043-0.0286),0.0137 (0.0043-0.0288),0.9422 (0.9125-0.9686)
