race,COMP18D,COMP18R,COMP18None
WVAP,0.1583 (0.146-0.1681),0.1927 (0.1847-0.198),0.649 (0.6377-0.6628)
OVAP,0.084 (0.0264-0.1595),0.0339 (0.0092-0.0758),0.882 (0.8001-0.9446)
