race,SEN12D,SEN12R,SEN12None
WVAP,0.1335 (0.1202-0.1454),0.2268 (0.2191-0.2323),0.6396 (0.6265-0.6546)
OVAP,0.1326 (0.0601-0.2232),0.0355 (0.0093-0.0789),0.832 (0.7367-0.9103)
