race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0146 (0.0121-0.0171),0.0018 (0.001-0.0026),0.0056 (0.0043-0.0069),0.0011 (0.0005-0.0018),0.0057 (0.0038-0.0076),0.9712 (0.9675-0.9749)
OVAP,0.0231 (0.0076-0.0416),0.012 (0.0047-0.0209),0.0136 (0.0045-0.0252),0.0138 (0.007-0.0203),0.0254 (0.0107-0.0421),0.9121 (0.8829-0.9393)
