race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0084 (0.0058-0.0108),0.01 (0.0082-0.0117),0.0061 (0.0045-0.0076),0.9756 (0.9721-0.9788)
BVAP,0.0207 (0.0066-0.0434),0.0126 (0.0033-0.0286),0.0125 (0.0037-0.0266),0.9542 (0.9221-0.9769)
HVAP,0.0611 (0.0198-0.1159),0.0439 (0.0134-0.0882),0.0342 (0.0089-0.0715),0.8608 (0.7842-0.9253)
OVAP,0.1258 (0.0491-0.231),0.0551 (0.0171-0.11),0.0548 (0.0179-0.112),0.7643 (0.6472-0.8729)
