race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0124 (0.0102-0.0144),0.0012 (0.0005-0.0019),0.0124 (0.0101-0.0147),0.9741 (0.971-0.9773)
BVAP,0.0152 (0.0037-0.0325),0.0099 (0.0027-0.0219),0.0157 (0.0045-0.0343),0.9591 (0.9309-0.9792)
HVAP,0.0562 (0.0159-0.1115),0.0366 (0.0125-0.0727),0.0521 (0.0169-0.1064),0.8552 (0.7717-0.9249)
OVAP,0.0745 (0.0243-0.1458),0.0881 (0.0463-0.1256),0.0796 (0.0307-0.1497),0.7578 (0.6623-0.845)
