race,COMP14D,COMP14R,COMP14None
WVAP,0.1151 (0.105-0.1233),0.1955 (0.1881-0.201),0.6894 (0.679-0.7024)
OVAP,0.071 (0.0238-0.1371),0.034 (0.008-0.0748),0.8949 (0.8164-0.9534)
