race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0354 (0.0308-0.0393),0.0005 (0.0002-0.001),0.964 (0.96-0.9688)
OVAP,0.0401 (0.0163-0.0721),0.0135 (0.0084-0.0183),0.9464 (0.9141-0.9713)
