race,PRES16D,PRES16R,PRES16None
WVAP,0.1256 (0.1118-0.1381),0.3176 (0.3075-0.3248),0.5568 (0.5427-0.5732)
OVAP,0.1438 (0.0664-0.2347),0.0472 (0.0133-0.1009),0.809 (0.7063-0.8915)
