race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0153 (0.0132-0.017),0.0026 (0.0014-0.004),0.0151 (0.0128-0.017),0.9669 (0.9638-0.9701)
OVAP,0.0163 (0.0053-0.0322),0.0232 (0.0108-0.0368),0.0189 (0.0061-0.037),0.9416 (0.915-0.9654)
