race,SEN18D,SEN18R,SEN18None
WVAP,0.1253 (0.1114-0.1359),0.2213 (0.2131-0.2268),0.6534 (0.6413-0.6693)
OVAP,0.1038 (0.0416-0.1948),0.0342 (0.0085-0.0755),0.862 (0.7654-0.9319)
