race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.036 (0.0309-0.0416),0.0111 (0.0077-0.0151),0.9529 (0.9459-0.9588)
BVAP,0.0284 (0.0083-0.058),0.0252 (0.0063-0.0572),0.9464 (0.9024-0.9773)
HVAP,0.1607 (0.0546-0.3004),0.1133 (0.036-0.2243),0.726 (0.5703-0.8592)
OVAP,0.1934 (0.0558-0.3572),0.315 (0.1497-0.4654),0.4916 (0.3166-0.7181)
