race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0447 (0.0399-0.0488),0.0187 (0.0142-0.0229),0.9365 (0.9305-0.9435)
OVAP,0.0351 (0.0099-0.0678),0.0545 (0.0237-0.0934),0.9104 (0.8592-0.9516)
