race,GOV18D,GOV18R,GOV18None
WVAP,0.059 (0.048-0.069),0.2965 (0.287-0.3032),0.6445 (0.632-0.6584)
OVAP,0.116 (0.05-0.1966),0.0446 (0.0114-0.093),0.8394 (0.748-0.9176)
