race,AG18D,AG18R,AG18None
WVAP,0.1191 (0.1061-0.1312),0.2352 (0.227-0.241),0.6457 (0.6313-0.6624)
OVAP,0.1075 (0.0353-0.1936),0.038 (0.0116-0.08),0.8545 (0.7519-0.9378)
