race,AG14D,AG14R,AG14None
WVAP,0.073 (0.0622-0.0846),0.1917 (0.1828-0.1992),0.7353 (0.7216-0.7485)
BVAP,0.0581 (0.0146-0.1218),0.0347 (0.0081-0.0793),0.9072 (0.8343-0.9626)
HVAP,0.3009 (0.0999-0.5651),0.1394 (0.0421-0.2988),0.5597 (0.2675-0.7933)
OVAP,0.4098 (0.1473-0.6881),0.1596 (0.0428-0.3207),0.4306 (0.1631-0.6992)
