race,SEN16D,SEN16R,SEN16None
WVAP,0.1493 (0.1349-0.1617),0.2863 (0.2772-0.2928),0.5644 (0.55-0.5813)
OVAP,0.1249 (0.0533-0.2166),0.0428 (0.0114-0.0919),0.8323 (0.73-0.9166)
