race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0085 (0.006-0.0109),0.0026 (0.0011-0.0044),0.0031 (0.0012-0.0056),0.9859 (0.9824-0.9891)
OVAP,0.1715 (0.0664-0.2912),0.1655 (0.0777-0.2474),0.2824 (0.1544-0.3857),0.3806 (0.2298-0.5343)
