race,PRES16D,PRES16R,PRES16None
WVAP,0.053 (0.0484-0.0577),0.3322 (0.3251-0.339),0.6148 (0.6076-0.6223)
BVAP,0.3618 (0.1098-0.641),0.3225 (0.109-0.5849),0.3157 (0.0969-0.5964)
HVAP,0.3329 (0.0887-0.6164),0.3235 (0.1185-0.5806),0.3436 (0.114-0.6339)
OVAP,0.3468 (0.1248-0.6236),0.3099 (0.0952-0.5781),0.3433 (0.1198-0.6273)
