race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0104 (0.0066-0.0148),0.013 (0.0092-0.0171),0.9767 (0.9714-0.981)
OVAP,0.3866 (0.1795-0.5673),0.3117 (0.1414-0.4922),0.3018 (0.1383-0.5189)
