race,GOV18D,GOV18R,GOV18None
WVAP,0.0253 (0.0196-0.031),0.2836 (0.2756-0.2911),0.6911 (0.6827-0.6991)
OVAP,0.3638 (0.1333-0.6215),0.3102 (0.0985-0.5578),0.3259 (0.0921-0.6212)
