race,COMP14D,COMP14R,COMP14None
WVAP,0.0852 (0.0782-0.0915),0.2122 (0.2041-0.2197),0.7026 (0.6944-0.7108)
OVAP,0.3411 (0.1199-0.6091),0.3271 (0.1052-0.5949),0.3318 (0.1079-0.584)
