race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0042 (0.0024-0.0064),0.001 (0.0004-0.0017),0.0018 (0.0009-0.003),0.0006 (0.0002-0.0012),0.0013 (0.0005-0.0025),0.991 (0.9883-0.9933)
OVAP,0.2102 (0.1134-0.3025),0.0701 (0.0378-0.1054),0.11 (0.0567-0.1643),0.0529 (0.0252-0.0826),0.1349 (0.0786-0.1885),0.422 (0.3124-0.5403)
