race,GOV18PD_BJ,GOV18PD_JS,GOV18PD_KV,GOV18PD_RM,GOV18PD_RB,GOV18PDNone
WVAP,0.0039 (0.0024-0.0057),0.0007 (0.0002-0.0014),0.0014 (0.0006-0.0023),0.0005 (0.0001-0.0009),0.0012 (0.0004-0.0021),0.9924 (0.9902-0.9943)
BVAP,0.181 (0.0751-0.3082),0.0665 (0.0194-0.1343),0.0828 (0.0292-0.1664),0.0418 (0.0102-0.0917),0.1227 (0.0392-0.2248),0.5051 (0.3415-0.6546)
HVAP,0.2371 (0.0851-0.4158),0.0966 (0.0329-0.1806),0.1679 (0.0547-0.3011),0.0993 (0.0306-0.1798),0.1769 (0.0604-0.3248),0.2222 (0.0703-0.4136)
OVAP,0.2586 (0.0894-0.4516),0.1003 (0.0375-0.1851),0.1606 (0.0626-0.2856),0.0728 (0.0253-0.1402),0.1483 (0.0513-0.2605),0.2593 (0.1055-0.4495)
