race,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,GOV14PDNone
WVAP,0.0075 (0.0051-0.0098),0.0022 (0.001-0.0037),0.0029 (0.0012-0.0051),0.9875 (0.9847-0.9902)
BVAP,0.1455 (0.0478-0.2752),0.1271 (0.0407-0.2384),0.2148 (0.0792-0.3569),0.5125 (0.3344-0.6944)
HVAP,0.2419 (0.0777-0.4616),0.2323 (0.0674-0.4223),0.302 (0.1045-0.5302),0.2238 (0.0676-0.443)
OVAP,0.264 (0.079-0.504),0.1916 (0.0678-0.3428),0.323 (0.1277-0.542),0.2214 (0.0596-0.4275)
