race,COMP18D,COMP18R,COMP18None
WVAP,0.0943 (0.0874-0.1011),0.2035 (0.1956-0.2109),0.7022 (0.6938-0.7101)
OVAP,0.3557 (0.1137-0.6183),0.3227 (0.1047-0.601),0.3216 (0.0984-0.5935)
