race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0057 (0.0031-0.008),0.0017 (0.0008-0.0028),0.0083 (0.0055-0.0111),0.9844 (0.9811-0.9873)
BVAP,0.1535 (0.0506-0.2916),0.1081 (0.0377-0.2045),0.2442 (0.0934-0.4251),0.4942 (0.3093-0.6788)
HVAP,0.2895 (0.0945-0.5188),0.1846 (0.0665-0.3391),0.2898 (0.0869-0.5264),0.2362 (0.0713-0.4686)
OVAP,0.3165 (0.1068-0.5784),0.1454 (0.0499-0.2647),0.303 (0.1023-0.5505),0.2351 (0.0714-0.4772)
