race,AG18D,AG18R,AG18None
WVAP,0.0507 (0.0442-0.0566),0.2576 (0.2494-0.2653),0.6916 (0.6834-0.6997)
OVAP,0.3541 (0.1298-0.6139),0.306 (0.0991-0.6062),0.3399 (0.1082-0.6166)
