race,PRES12D,PRES12R,PRES12None
WVAP,0.0927 (0.0857-0.0992),0.345 (0.3364-0.3531),0.5623 (0.5533-0.5706)
OVAP,0.345 (0.1166-0.6076),0.3205 (0.0901-0.5945),0.3345 (0.1076-0.6464)
