race,COMP18D,COMP18R,COMP18None
WVAP,0.0948 (0.0899-0.0999),0.2036 (0.1973-0.2096),0.7016 (0.6944-0.7086)
BVAP,0.335 (0.1051-0.6046),0.3133 (0.0825-0.588),0.3517 (0.1128-0.6195)
HVAP,0.3351 (0.1015-0.6227),0.3383 (0.1353-0.6078),0.3266 (0.0999-0.6055)
OVAP,0.3367 (0.0813-0.6261),0.3288 (0.0955-0.6209),0.3345 (0.097-0.6623)
