race,SEN16PD_CV,SEN16PD_DE,SEN16PDNone
WVAP,0.0106 (0.0073-0.014),0.0129 (0.0096-0.016),0.9766 (0.9728-0.9801)
BVAP,0.3266 (0.1321-0.5242),0.2857 (0.1119-0.477),0.3878 (0.1637-0.6197)
HVAP,0.3868 (0.1432-0.6698),0.3347 (0.0988-0.6038),0.2785 (0.0899-0.5083)
OVAP,0.3972 (0.1157-0.6801),0.3253 (0.0883-0.6314),0.2775 (0.0786-0.5646)
