race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0151 (0.0106-0.0194),0.0004 (0.0001-0.0008),0.9845 (0.9802-0.989)
OVAP,0.3572 (0.1555-0.575),0.0355 (0.0144-0.0592),0.6073 (0.3872-0.8122)
