race,PRES16D,PRES16R,PRES16None
WVAP,0.0524 (0.0452-0.0591),0.3327 (0.3239-0.3406),0.615 (0.6062-0.6235)
OVAP,0.3724 (0.1151-0.6729),0.3002 (0.0836-0.5865),0.3275 (0.0943-0.601)
