race,SEN12D,SEN12R,SEN12None
WVAP,0.1066 (0.0994-0.1131),0.289 (0.2804-0.2967),0.6044 (0.596-0.6127)
OVAP,0.3431 (0.1272-0.6061),0.3273 (0.1162-0.6068),0.3295 (0.1133-0.5892)
