race,SEN12PD_BC,SEN12PD_CM,SEN12PDNone
WVAP,0.0136 (0.0101-0.0171),0.0003 (0.0001-0.0007),0.9861 (0.9826-0.9896)
BVAP,0.2524 (0.0839-0.448),0.0438 (0.0082-0.1016),0.7038 (0.5071-0.8734)
HVAP,0.4831 (0.1763-0.7812),0.0689 (0.0204-0.1359),0.448 (0.1503-0.7505)
OVAP,0.5206 (0.2029-0.8014),0.0478 (0.0111-0.0996),0.4317 (0.1527-0.7487)
