race,AG14D,AG14R,AG14None
WVAP,0.0554 (0.0484-0.0614),0.2196 (0.2116-0.2272),0.7251 (0.7169-0.7327)
OVAP,0.344 (0.1141-0.6229),0.3361 (0.1043-0.6223),0.3199 (0.0978-0.5834)
