race,GOV14D,GOV14R,GOV14None
WVAP,0.0465 (0.0397-0.0522),0.254 (0.2458-0.262),0.6994 (0.6908-0.7073)
OVAP,0.3367 (0.1067-0.626),0.3215 (0.1033-0.6102),0.3418 (0.103-0.6105)
