race,COMP14D,COMP14R,COMP14None
WVAP,0.0854 (0.0803-0.0905),0.2123 (0.2062-0.2183),0.7024 (0.6955-0.7092)
BVAP,0.331 (0.0852-0.627),0.3219 (0.0884-0.6215),0.3471 (0.1193-0.6272)
HVAP,0.3511 (0.123-0.6284),0.3111 (0.0917-0.5813),0.3379 (0.1105-0.6271)
OVAP,0.3229 (0.1032-0.6048),0.3455 (0.1039-0.6235),0.3317 (0.1077-0.6012)
