race,SEN18D,SEN18R,SEN18None
WVAP,0.0633 (0.0563-0.0693),0.2391 (0.2311-0.2463),0.6976 (0.6889-0.7058)
OVAP,0.316 (0.0948-0.6057),0.3362 (0.1165-0.5904),0.3479 (0.1067-0.6262)
