race,AG14D,AG14R,AG14None
WVAP,0.0556 (0.0511-0.0599),0.2196 (0.2132-0.2261),0.7247 (0.7177-0.7314)
BVAP,0.3194 (0.0939-0.5827),0.3599 (0.1251-0.6141),0.3207 (0.1026-0.5923)
HVAP,0.3336 (0.1004-0.6196),0.3176 (0.1095-0.5925),0.3489 (0.1119-0.6253)
OVAP,0.3413 (0.1079-0.6421),0.315 (0.0944-0.5755),0.3437 (0.1009-0.6448)
