race,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,AG14PDNone
WVAP,0.0066 (0.0037-0.0094),0.0018 (0.0006-0.0032),0.0082 (0.0048-0.0118),0.9834 (0.9792-0.9871)
OVAP,0.2145 (0.0867-0.3584),0.1372 (0.0721-0.2045),0.2858 (0.1247-0.4501),0.3625 (0.2023-0.5484)
