race,SEN16D,SEN16R,SEN16None
WVAP,0.0596 (0.0524-0.0662),0.3115 (0.3027-0.3195),0.6289 (0.6202-0.6373)
OVAP,0.3653 (0.1167-0.6448),0.3076 (0.071-0.6182),0.3271 (0.1043-0.6033)
