race,PRES20D,PRES20R,PRES20Turnout
AMINVAP,0.7879 (0.6788-0.878),0.2121 (0.122-0.3212),0.9121 (0.8758-0.938)
OVAP,0.5004 (0.4994-0.5015),0.4996 (0.4985-0.5006),0.738 (0.7374-0.7386)
