race,SEN12PD_BC,SEN12PD_CM,SEN12PDTurnout
WVAP,0.9603 (0.9409-0.9752),0.0397 (0.0248-0.0591),0.0363 (0.0332-0.0395)
OVAP,0.5861 (0.5025-0.6608),0.4139 (0.3392-0.4975),0.0529 (0.0436-0.063)
