race,SEN16D,SEN16R,SEN16Turnout
WVAP,0.3543 (0.3329-0.3749),0.6457 (0.6251-0.6671),0.4238 (0.4105-0.437)
OVAP,0.9322 (0.8818-0.9648),0.0678 (0.0352-0.1182),0.2845 (0.242-0.3285)
