race,COMP14D,COMP14R,COMP14Turnout
WVAP,0.4719 (0.4559-0.4876),0.5281 (0.5124-0.5441),0.3598 (0.3488-0.3711)
BVAP,0.8638 (0.7628-0.9331),0.1362 (0.0669-0.2372),0.1614 (0.114-0.2125)
HVAP,0.7289 (0.4921-0.895),0.2711 (0.105-0.5079),0.1 (0.0465-0.1728)
OVAP,0.7057 (0.4598-0.8835),0.2943 (0.1165-0.5402),0.1762 (0.0796-0.3048)
